wid,prompt,response
wd5a2d8f,Getting a flat tire on the way home from work,-7
w8883c2c,Getting a flat tire on the way home from work,-10
w8883c2c,Finding a $20 bill on the street,10
w8883c2c,Free dinner with a friend at your favorite restaurant,0
w8883c2c,Breaking both legs in a car accident,-10
w8883c2c,Winning the lottery,10
w8883c2c,Stubbing your toe,-10
w8883c2c,Eating a spoonfull of rice,-8
w2777a8f,Getting a flat tire on the way home from work,-10
w2777a8f,Eating a spoonfull of rice,1
w2777a8f,Free dinner with a friend at your favorite restaurant,10
w2777a8f,Finding a $20 bill on the street,10
w2777a8f,Winning the lottery,10
w2777a8f,Breaking both legs in a car accident,-10
w2777a8f,Stubbing your toe,-7
w363e6ac,Breaking both legs in a car accident,-10
w363e6ac,Eating a spoonfull of rice,1
w363e6ac,Stubbing your toe,-3
w363e6ac,Free dinner with a friend at your favorite restaurant,4
w363e6ac,Finding a $20 bill on the street,5
w363e6ac,Getting a flat tire on the way home from work,-6
w363e6ac,Winning the lottery,7
w4a284b9,Breaking both legs in a car accident,-10
w4a284b9,Getting a flat tire on the way home from work,-8
w4a284b9,Winning the lottery,10
w4a284b9,Eating a spoonfull of rice,0
w4a284b9,Free dinner with a friend at your favorite restaurant,5
w4a284b9,Finding a $20 bill on the street,5
w4a284b9,Stubbing your toe,-3
w0663715,Breaking both legs in a car accident,-9
w0663715,Finding a $20 bill on the street,2
w0663715,Getting a flat tire on the way home from work,-5
w0663715,Winning the lottery,9
w0663715,Stubbing your toe,-2
w0663715,Free dinner with a friend at your favorite restaurant,5
w0663715,Eating a spoonfull of rice,1
w98f1b99,Eating a spoonfull of rice,7
w98f1b99,Stubbing your toe,-6
w98f1b99,Free dinner with a friend at your favorite restaurant,10
w98f1b99,Breaking both legs in a car accident,-10
w98f1b99,Getting a flat tire on the way home from work,-8
w98f1b99,Winning the lottery,10
w98f1b99,Finding a $20 bill on the street,7
w73ed943,Finding a $20 bill on the street,4
w73ed943,Free dinner with a friend at your favorite restaurant,4
w73ed943,Breaking both legs in a car accident,-10
w73ed943,Winning the lottery,10
w73ed943,Getting a flat tire on the way home from work,-5
w73ed943,Eating a spoonfull of rice,0
w73ed943,Stubbing your toe,-2
w26c2bef,Eating a spoonfull of rice,3
w26c2bef,Breaking both legs in a car accident,-10
w26c2bef,Stubbing your toe,-3
w26c2bef,Finding a $20 bill on the street,6
w26c2bef,Free dinner with a friend at your favorite restaurant,8
w26c2bef,Winning the lottery,10
w26c2bef,Getting a flat tire on the way home from work,-10
w1c3dd8c,Breaking both legs in a car accident,-10
w1c3dd8c,Eating a spoonfull of rice,-4
w1c3dd8c,Getting a flat tire on the way home from work,-10
w1c3dd8c,Finding a $20 bill on the street,10
w1c3dd8c,Stubbing your toe,-5
w1c3dd8c,Free dinner with a friend at your favorite restaurant,10
w1c3dd8c,Winning the lottery,10
wc146e19,Finding a $20 bill on the street,10
wc146e19,Breaking both legs in a car accident,-10
wc146e19,Free dinner with a friend at your favorite restaurant,10
wc146e19,Stubbing your toe,-6
wc146e19,Getting a flat tire on the way home from work,-10
wc146e19,Winning the lottery,10
wc146e19,Eating a spoonfull of rice,0
webaf5b1,Getting a flat tire on the way home from work,-10
webaf5b1,Free dinner with a friend at your favorite restaurant,10
webaf5b1,Eating a spoonfull of rice,2
webaf5b1,Stubbing your toe,-2
webaf5b1,Finding a $20 bill on the street,10
webaf5b1,Breaking both legs in a car accident,-10
webaf5b1,Winning the lottery,10
wc37a2ec,Winning the lottery,9
wc37a2ec,Stubbing your toe,-2
wc37a2ec,Free dinner with a friend at your favorite restaurant,5
wc37a2ec,Breaking both legs in a car accident,-8
wc37a2ec,Getting a flat tire on the way home from work,-4
wc37a2ec,Finding a $20 bill on the street,4
wc37a2ec,Eating a spoonfull of rice,1
w2be12ca,Breaking both legs in a car accident,-10
w2be12ca,Getting a flat tire on the way home from work,-4
w2be12ca,Finding a $20 bill on the street,3
w2be12ca,Free dinner with a friend at your favorite restaurant,6
w2be12ca,Eating a spoonfull of rice,1
w2be12ca,Winning the lottery,10
w2be12ca,Stubbing your toe,-3
w2baccaf,Finding a $20 bill on the street,10
w2baccaf,Free dinner with a friend at your favorite restaurant,10
w2baccaf,Getting a flat tire on the way home from work,-10
w2baccaf,Eating a spoonfull of rice,0
w2baccaf,Winning the lottery,10
w2baccaf,Stubbing your toe,-1
w2baccaf,Breaking both legs in a car accident,-10
w2044ba1,Winning the lottery,10
w2044ba1,Getting a flat tire on the way home from work,-5
w2044ba1,Breaking both legs in a car accident,-8
w2044ba1,Free dinner with a friend at your favorite restaurant,7
w2044ba1,Stubbing your toe,-3
w2044ba1,Finding a $20 bill on the street,5
w2044ba1,Eating a spoonfull of rice,0
w31c2904,Free dinner with a friend at your favorite restaurant,8
w31c2904,Eating a spoonfull of rice,0
w31c2904,Finding a $20 bill on the street,7
w31c2904,Stubbing your toe,-8
w31c2904,Getting a flat tire on the way home from work,-9
w31c2904,Breaking both legs in a car accident,-10
w31c2904,Winning the lottery,10
wd61612e,Breaking both legs in a car accident,-10
wd61612e,Getting a flat tire on the way home from work,-5
wd61612e,Stubbing your toe,-1
wd61612e,Finding a $20 bill on the street,4
wd61612e,Eating a spoonfull of rice,1
wd61612e,Free dinner with a friend at your favorite restaurant,7
wd61612e,Winning the lottery,10
we2a0c38,Winning the lottery,10
we2a0c38,Stubbing your toe,-10
we2a0c38,Finding a $20 bill on the street,10
we2a0c38,Free dinner with a friend at your favorite restaurant,10
we2a0c38,Getting a flat tire on the way home from work,-10
we2a0c38,Breaking both legs in a car accident,-10
we2a0c38,Eating a spoonfull of rice,3
w6449213,Winning the lottery,10
w6449213,Breaking both legs in a car accident,-10
w6449213,Eating a spoonfull of rice,0
w6449213,Getting a flat tire on the way home from work,-3
w6449213,Finding a $20 bill on the street,5
w6449213,Stubbing your toe,-1
w6449213,Free dinner with a friend at your favorite restaurant,5
w1c6ef1a,Eating a spoonfull of rice,0
w1c6ef1a,Finding a $20 bill on the street,8
w1c6ef1a,Winning the lottery,10
w1c6ef1a,Breaking both legs in a car accident,-10
w1c6ef1a,Getting a flat tire on the way home from work,-3
w1c6ef1a,Free dinner with a friend at your favorite restaurant,6
w1c6ef1a,Stubbing your toe,-2
w94007a6,Getting a flat tire on the way home from work,-8
w94007a6,Free dinner with a friend at your favorite restaurant,10
w94007a6,Breaking both legs in a car accident,-10
w94007a6,Stubbing your toe,-4
w94007a6,Winning the lottery,7
w94007a6,Finding a $20 bill on the street,5
w94007a6,Eating a spoonfull of rice,2
wbb75636,Free dinner with a friend at your favorite restaurant,8
wbb75636,Breaking both legs in a car accident,-10
wbb75636,Eating a spoonfull of rice,1
wbb75636,Finding a $20 bill on the street,5
wbb75636,Getting a flat tire on the way home from work,-9
wbb75636,Stubbing your toe,-2
wbb75636,Winning the lottery,10
w92bf5b9,Finding a $20 bill on the street,5
w92bf5b9,Winning the lottery,10
w92bf5b9,Stubbing your toe,-7
w92bf5b9,Eating a spoonfull of rice,-5
w92bf5b9,Getting a flat tire on the way home from work,-10
w92bf5b9,Free dinner with a friend at your favorite restaurant,10
w92bf5b9,Breaking both legs in a car accident,-10
wd49ddf4,Winning the lottery,2
wd49ddf4,Free dinner with a friend at your favorite restaurant,7
wd49ddf4,Finding a $20 bill on the street,7
wd49ddf4,Getting a flat tire on the way home from work,-7
wd49ddf4,Stubbing your toe,-4
wd49ddf4,Breaking both legs in a car accident,-9
wd49ddf4,Eating a spoonfull of rice,0
wf83a6b1,Eating a spoonfull of rice,1
wf83a6b1,Free dinner with a friend at your favorite restaurant,5
wf83a6b1,Breaking both legs in a car accident,-10
wf83a6b1,Stubbing your toe,-5
wf83a6b1,Winning the lottery,10
wf83a6b1,Finding a $20 bill on the street,3
wf83a6b1,Getting a flat tire on the way home from work,-7
w97a1598,Breaking both legs in a car accident,-8
w97a1598,Finding a $20 bill on the street,2
w97a1598,Free dinner with a friend at your favorite restaurant,4
w97a1598,Stubbing your toe,-5
w97a1598,Eating a spoonfull of rice,1
w97a1598,Winning the lottery,10
w97a1598,Getting a flat tire on the way home from work,-5
wce17a9e,Getting a flat tire on the way home from work,-5
wce17a9e,Stubbing your toe,-5
wce17a9e,Winning the lottery,6
wce17a9e,Free dinner with a friend at your favorite restaurant,6
wce17a9e,Finding a $20 bill on the street,2
wce17a9e,Eating a spoonfull of rice,4
wce17a9e,Breaking both legs in a car accident,-10
w742e695,Getting a flat tire on the way home from work,-10
w742e695,Stubbing your toe,-10
w742e695,Eating a spoonfull of rice,10
w742e695,Winning the lottery,10
w742e695,Breaking both legs in a car accident,-10
w742e695,Finding a $20 bill on the street,4
w742e695,Free dinner with a friend at your favorite restaurant,9
wea21aec,Stubbing your toe,-4
wea21aec,Getting a flat tire on the way home from work,-5
wea21aec,Breaking both legs in a car accident,-10
wea21aec,Free dinner with a friend at your favorite restaurant,7
wea21aec,Finding a $20 bill on the street,5
wea21aec,Winning the lottery,10
wea21aec,Eating a spoonfull of rice,0
w8d45e65,Eating a spoonfull of rice,2
w8d45e65,Winning the lottery,10
w8d45e65,Breaking both legs in a car accident,-10
w8d45e65,Stubbing your toe,-7
w8d45e65,Getting a flat tire on the way home from work,-3
w8d45e65,Free dinner with a friend at your favorite restaurant,3
w8d45e65,Finding a $20 bill on the street,10
w92c8d42,Eating a spoonfull of rice,3
w92c8d42,Finding a $20 bill on the street,6
w92c8d42,Free dinner with a friend at your favorite restaurant,8
w92c8d42,Stubbing your toe,-4
w92c8d42,Winning the lottery,10
w92c8d42,Getting a flat tire on the way home from work,-7
w92c8d42,Breaking both legs in a car accident,-10
w23a7e68,Breaking both legs in a car accident,-10
w23a7e68,Finding a $20 bill on the street,6
w23a7e68,Winning the lottery,10
w23a7e68,Getting a flat tire on the way home from work,-8
w23a7e68,Free dinner with a friend at your favorite restaurant,6
w23a7e68,Stubbing your toe,-4
w23a7e68,Eating a spoonfull of rice,1
w82f7259,Eating a spoonfull of rice,0
w82f7259,Winning the lottery,10
w82f7259,Finding a $20 bill on the street,6
w82f7259,Breaking both legs in a car accident,-8
w82f7259,Getting a flat tire on the way home from work,-5
w82f7259,Stubbing your toe,-3
w82f7259,Free dinner with a friend at your favorite restaurant,8
w1989f41,Free dinner with a friend at your favorite restaurant,10
w1989f41,Breaking both legs in a car accident,-10
w1989f41,Finding a $20 bill on the street,6
w1989f41,Winning the lottery,10
w1989f41,Stubbing your toe,-7
w1989f41,Eating a spoonfull of rice,-6
w1989f41,Getting a flat tire on the way home from work,-8
wa0d5d63,Breaking both legs in a car accident,-10
wa0d5d63,Stubbing your toe,-2
wa0d5d63,Eating a spoonfull of rice,3
wa0d5d63,Winning the lottery,10
wa0d5d63,Getting a flat tire on the way home from work,-2
wa0d5d63,Free dinner with a friend at your favorite restaurant,10
wa0d5d63,Finding a $20 bill on the street,9
w1a640b0,Eating a spoonfull of rice,3
w1a640b0,Stubbing your toe,-3
w1a640b0,Finding a $20 bill on the street,5
w1a640b0,Winning the lottery,10
w1a640b0,Free dinner with a friend at your favorite restaurant,8
w1a640b0,Getting a flat tire on the way home from work,-5
w1a640b0,Breaking both legs in a car accident,-10
w7bb6604,Getting a flat tire on the way home from work,-8
w7bb6604,Free dinner with a friend at your favorite restaurant,7
w7bb6604,Finding a $20 bill on the street,4
w7bb6604,Breaking both legs in a car accident,-10
w7bb6604,Winning the lottery,10
w7bb6604,Eating a spoonfull of rice,0
w7bb6604,Stubbing your toe,-1
w4127897,Eating a spoonfull of rice,-2
w4127897,Winning the lottery,10
w4127897,Breaking both legs in a car accident,-7
w4127897,Free dinner with a friend at your favorite restaurant,5
w4127897,Finding a $20 bill on the street,7
w4127897,Stubbing your toe,-6
w4127897,Getting a flat tire on the way home from work,-6
wdfcc87f,Breaking both legs in a car accident,-10
wdfcc87f,Finding a $20 bill on the street,10
wdfcc87f,Winning the lottery,10
wdfcc87f,Eating a spoonfull of rice,0
wdfcc87f,Stubbing your toe,-5
wdfcc87f,Free dinner with a friend at your favorite restaurant,10
wdfcc87f,Getting a flat tire on the way home from work,-8
w4d34db1,Getting a flat tire on the way home from work,-10
w4d34db1,Stubbing your toe,-10
w4d34db1,Finding a $20 bill on the street,10
w4d34db1,Winning the lottery,10
w4d34db1,Eating a spoonfull of rice,0
w4d34db1,Breaking both legs in a car accident,-10
w4d34db1,Free dinner with a friend at your favorite restaurant,10
w3df2237,Finding a $20 bill on the street,10
w3df2237,Winning the lottery,10
w3df2237,Breaking both legs in a car accident,-10
w3df2237,Stubbing your toe,-5
w3df2237,Eating a spoonfull of rice,4
w3df2237,Free dinner with a friend at your favorite restaurant,9
w3df2237,Getting a flat tire on the way home from work,-9
w534084f,Free dinner with a friend at your favorite restaurant,9
w534084f,Eating a spoonfull of rice,-2
w534084f,Stubbing your toe,-5
w534084f,Breaking both legs in a car accident,-10
w534084f,Getting a flat tire on the way home from work,-8
w534084f,Finding a $20 bill on the street,7
w534084f,Winning the lottery,10
w422cd45,Finding a $20 bill on the street,10
w422cd45,Getting a flat tire on the way home from work,-6
w422cd45,Stubbing your toe,-6
w422cd45,Breaking both legs in a car accident,-10
w422cd45,Winning the lottery,10
w422cd45,Free dinner with a friend at your favorite restaurant,10
w422cd45,Eating a spoonfull of rice,0
